vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
1585,VLNPI1,DB 8221 LM,2022,4,22:19.0,84,16.09,1080
1599,VLKMS1,MJEC1JG43L5188580,2022,4,49:10.0,0,151.31,690.6
866,VJDMI1,MJEFM8JK1LJE13472,2022,4,13:31.0,86,14.1,19.5
943,VGIPS1,MJEC1JG43L5188385,2022,4,13:41.0,79,20.68,96.7
1012,VJDMI1,MJEC1JG53L5005045,2022,4,10:11.0,63,36.55,982.8
1688,VGIST1,D 9086 UC,2022,4,28:33.0,56,44.26,4858.6
924,VGIPS1,MJEFM8JN1LJE33093,2022,4,43:03.0,0,107.2,1827
953,VGICP2,EB 8599 FA,2022,4,38:29.0,4,96.18,377.4
1002,VGIPJ1,BK 9949 EQ,2022,4,47:30.0,100,0,0
792,VGIPJ1,B 9063 JEH,2022,4,44:03.0,72,28.44,2122.8
973,VJHMM1,MJEC1JG43L5188414,2022,4,52:58.0,85,14.64,360.4
1039,VKMPM1,MJEFM8JN1LJE32938,2022,4,57:35.0,3,96.7,661.4
1074,VKMPM1,DA 8386 PT,2022,4,01:02.0,0,102.3,3060.9
1142,VJDMI1,B 9330 KYY,2022,4,34:20.0,30,69.86,1213.5
1152,VSPLR1,BE 9286 FI,2022,4,44:50.0,95,4.61,2740.5
1235,VWCSB1,MJERK8JSKLJN23093,2022,4,19:17.0,69,27.36,7024.6
1242,VKAMP1,KH 8067 GP,2022,4,57:27.0,29,71.18,638.9
1282,VSPLR1,BE 9472 YV,2022,4,23:25.0,24,75.77,2650.8
1141,VJHAM1,L 8057 US,2022,4,59:16.0,63,36.9,1767.1
1283,VSPLR1,BE 9474 YV,2022,4,10:40.0,0,130.57,2267.6
1296,VSPLR1,BE 9488 YV,2022,4,52:15.0,0,218.86,898.5
1391,VSCLM1,BG 8539 OH,2022,4,12:29.0,76,23.93,1394
1113,VGIPS1,B 9374 FXV,2022,4,40:21.0,93,7.29,102.9
463,VLPMA1,MJEC1JG43L5188205,2022,4,57:28.0,100,0,0
456,VGIPS1,W 9614 UL,2022,4,11:06.0,98,2.01,4704.2
475,VGIPM1,BK 8426 EQ,2022,4,12:10.0,93,6.96,1347.4
530,VKABP1,KB 8227 FB,2022,4,41:39.0,100,0,0
509,VJDMI1,B 9434 VCD,2022,4,17:16.0,62,38.38,2139.7
786,VKPPK1,KT 8137 NP,2022,4,22:23.0,61,39.45,1918.4
824,VKABP1,D29 - KB 642 XX,2022,4,26:57.0,67,33.49,2080.5
859,VJDMI1,MJEFM8JW1LJE13685,2022,4,34:17.0,94,5.74,1206.2
899,VKAMP1,MJEC1JG43L5188356,2022,4,55:15.0,17,82.56,21.8
902,VSCLM1,MJEC1JG41L5188261,2022,4,02:04.0,90,9.83,463.2
590,VJDMI1,D 8846 FL,2022,4,30:17.0,100,0,0
602,VKAAJ1,MJEC1JG43L5188292,2022,4,30:44.0,56,43.87,1685.1
625,VJARM1,B 9052 PEJ,2022,4,11:17.0,0,103.95,627.7
639,VLPMA1,MJEFM8JN1LJE33034,2022,4,53:46.0,100,0,0
644,VGIPS1,L 9560 US,2022,4,43:27.0,70,29.51,1603.2
724,VJARM1,B 9248 FYX,2022,4,31:42.0,57,43.47,848.3
758,VJDMI1,B 9337 CYU,2022,4,31:55.0,99,1.14,2432.1
680,VJARM1,B 9442 PFA,2022,4,36:39.0,63,36.91,2730.4
727,VKMPM1,DA 7215 PM,2022,4,04:01.0,97,2.8,26.8
969,VSPLR1,BE 8622 YX,2022,4,32:08.0,0,327.39,1728.2
936,VGIPS1,MJEFM8JN1LJE33092,2022,4,43:46.0,24,76.35,1950.5
959,VSPLR1,BE 8618 YX,2022,4,59:46.0,0,226.96,2797.6
1063,VJDMI1,B 9477 TEJ,2022,4,25:14.0,8,91.75,2194.6
1091,VSPLR1,BE 8613 YX,2022,4,40:27.0,0,336.45,2154.4
1145,VWDCM1,MJERK8JSKLJN23087,2022,4,36:59.0,73,24.59,2494.6
1148,VJDMI1,B 9034 KXU,2022,4,31:11.0,87,12.83,987.5
1024,VGIPS1,AG 9767 UW,2022,4,54:25.0,0,129.18,1687
1169,VKPPK1,NBI 016 - MJEFM8JN1LJE331,2022,4,43:36.0,0,150.74,462.7
1185,VJHAM1,L 9960 UR,2022,4,12:10.0,45,55.18,1249.5
840,VSJIM1,MJEC1JG43L5188319,2022,4,03:12.0,13,87.16,1380.5
914,VLKMS1,MJEFL8JT1LJE13822,2022,4,56:39.0,98,2.04,4631.6
1031,VWCKM1,MJEC1JG43L5188394,2022,4,04:26.0,89,10.58,380.9
1049,VSCLM1,BG 8359 OH,2022,4,53:22.0,88,11.75,1571.5
1050,VKMPM1,DA 8626 ZL,2022,4,31:05.0,30,70.44,5011.4
1080,VSGRM1,MJEC1JG43L5188420,2022,4,32:42.0,28,72.11,1784.8
1082,VKPPK1,MJEC1JG43L5188438,2022,4,25:34.0,100,0,0.3
1301,VSPLR1,BE 9490 YV,2022,4,57:46.0,0,164.53,1223
1352,VKMPM1,E33205 - BG 817,2022,4,54:44.0,0,251.37,4073.4
1354,VKMPM1,E33208 - BG 819,2022,4,30:34.0,0,206.17,3014.3
1219,VJHMM1,B 9589 NYV,2022,4,38:40.0,73,26.72,934.8
1266,VKMPM1,MJEFM8JN1LJE32723,2022,4,13:42.0,61,38.61,921.4
1386,VWCKM1,N 7004 UQ,2022,4,39:35.0,86,11.88,3816.8
1392,VLNPN1,DM 8043 AJ,2022,4,46:33.0,90,10.18,2422.5
1414,VWCKM1,S 9134 UO,2022,4,54:27.0,66,34,2326.8
1457,VGIPS1,L 9242 US,2022,4,45:26.0,0,131.91,756
1473,VKABP1,KB 659 XX,2022,4,59:21.0,0,334.33,572.7
1317,VJARM1,B 9114 JYT,2022,4,18:02.0,42,58.04,1369.3
1355,VWCKM1,MJEFM8JN1LJE33209,2022,4,50:26.0,0,104.23,1184.6
1380,VSPLR1,BE 9475 YV,2022,4,47:18.0,0,171.75,1488.6
1383,VWDCM1,H7022OE,2022,4,05:39.0,56,40.89,7171.1
1388,VKAMP1,KH 8647 LP,2022,4,36:31.0,0,380.71,781.7
1511,VJHMM1,B9950FEH,2022,4,17:25.0,57,42.65,1691
1523,VKABP1,KB 8435 AY,2022,4,49:30.0,0,205.76,331.7
1555,VWCKM1,MJEFM8JN1LJE32919,2022,4,21:39.0,1,98.7,2771.3
1435,VGIPS1,L 9847 AC,2022,4,10:40.0,59,40.02,451.6
1469,VJDMI1,B 9688 TIS,2022,4,14:00.0,0,121.62,1168
1487,VGIPS1,MJEC1JG43L5188456,2022,4,22:33.0,64,36.41,495.1
1508,VKKMB2,MJEC1JG43L5188527,2022,4,59:06.0,0,196.04,1293.8
1513,VJDMI1,B 9721 TIS,2022,4,29:13.0,38,62.26,4943.9
1529,VWCKM1,MJERK8JSKLJN23106,2022,4,39:13.0,66,32.36,2602.8
1549,VJDMI1,B 9722 KEU,2022,4,05:57.0,90,10.08,5804.8
1564,VKABP1,D52 - KB 685 XX,2022,4,54:19.0,11,88.79,1099
1732,VGIPM1,BK 8210 ER,2022,4,58:38.0,64,35.89,775.2
1746,VSTIU1,BK 7017 US,2022,4,26:01.0,53,46.59,6088.3
1767,VSGRM1,ATN 74,2022,4,35:47.0,85,14.64,1747.5
864,VWDCM1,MJERK8JSKLJN23075,2022,4,43:40.0,98,1.55,4457.1
1698,VSVBM1,BA 9372 AC,2022,4,09:33.0,0,537.98,548.4
1724,VLNPI1,DM 8638 EA,2022,4,31:42.0,99,0.57,529.8
963,VGIPM1,BK 9653 EQ,2022,4,27:59.0,96,3.78,3303.8
983,VGIPS1,AE 8916 UP,2022,4,34:37.0,68,31.78,122.7
990,VSPLR1,BE 8626 YX,2022,4,59:46.0,0,543.22,2521.5
1075,VKMPM1,DA 8736 BV,2022,4,49:46.0,21,78.88,3453.7
1430,VSCLM1,MJEC1JG43L5188613,2022,4,12:20.0,61,38.78,300.4
1545,VSPLR1,BE 9410 YV,2022,4,23:34.0,99,1.04,1256
1580,VJHMM1,MJEC1JGX1L5037289,2022,4,02:48.0,17,83.42,1877.4
1706,VJHMM1,MJEC1JG43L5188594,2022,4,15:31.0,49,51.03,299.3
1751,VKPPK1,KT 8873 NO,2022,4,22:07.0,57,42.66,858
1604,VWCMC1,MJEFL8JW1LJE24297,2022,4,30:58.0,95,4.56,126.1
1735,VSGRM1,ATN 64,2022,4,54:31.0,84,16.04,2435.1
